fold,test_month,n_stocks,nifty_return,LightGBM_rank_ic,LightGBM_hit_rate_pct,LightGBM_top10_gross,LightGBM_top10_net,LightGBM_ls_spread_net,LightGBM_turnover,XGBoost_rank_ic,XGBoost_hit_rate_pct,XGBoost_top10_gross,XGBoost_top10_net,XGBoost_ls_spread_net,XGBoost_turnover,RandomForest_rank_ic,RandomForest_hit_rate_pct,RandomForest_top10_gross,RandomForest_top10_net,RandomForest_ls_spread_net,RandomForest_turnover,Ensemble_rank_ic,Ensemble_hit_rate_pct,Ensemble_top10_gross,Ensemble_top10_net,Ensemble_ls_spread_net,Ensemble_turnover
24,2018-02,46,0.01970048087999154,0.16040703052728952,70.0,0.05313318486866331,0.05178318486866331,0.02950370613003265,0.45,-0.009435707678075856,60.0,0.03546352329148401,0.03426352329148401,-0.002592539190583519,0.4,-0.03669441874807278,50.0,0.02181638965717128,0.020766389657171282,-0.01602918058384897,0.35,0.10823311748381129,60.0,0.035202639616970524,0.034302639616970526,-0.008998590886883998,0.3
25,2018-03,46,0.05595792635071558,-0.01757631822386679,80.0,0.05381213746863043,0.05186213746863043,-0.017419212476151788,0.6499999999999999,-0.03558433549182855,70.0,0.043184311269794495,0.040784311269794496,-0.009966083434624379,0.8,-0.14276904101140916,70.0,0.039484129183930135,0.037084129183930135,-0.037275127358024594,0.8,-0.025963613937711995,70.0,0.03948412918393014,0.03708412918393014,-0.021064578812593965,0.8
26,2018-04,46,0.001660216552271592,0.13771199506629664,50.0,0.014674504861921012,0.012274504861921012,0.008929538264416613,0.8,0.04569842738205366,60.0,0.015623155484143758,0.013223155484143757,0.011004878402657337,0.8,0.09873573851372185,70.0,0.031318471748575084,0.028918471748575085,0.019086470770261012,0.8,0.13351834720937403,70.0,0.031318471748575084,0.028918471748575085,0.028143169724125294,0.8
27,2018-05,46,0.015806357251170338,-0.030650632130743136,40.0,0.028975180562272784,0.027025180562272783,-0.0037913197410001237,0.6499999999999999,-0.1009559050262103,40.0,0.01749120602832303,0.01509120602832303,-0.008929580501997807,0.8,-0.17323465926611162,30.0,-0.0012713729525156688,-0.003371372952515669,-0.03588899825551023,0.7,-0.04902867715078631,40.0,0.01749120602832303,0.01554120602832303,-0.024303332939232303,0.6499999999999999
28,2018-06,46,0.05144235066671429,0.14992291088498305,80.0,0.06651604058157497,0.06411604058157497,0.03919392288631182,0.8,0.08603145235892691,70.0,0.04911503816968944,0.04716503816968944,0.008847397563033953,0.6499999999999999,0.04976873265494912,80.0,0.05532568359529934,0.053525683595299335,0.013300427535899904,0.6,0.15744680851063828,80.0,0.06651604058157497,0.06426604058157497,0.041167295598047514,0.75
29,2018-07,46,0.045823698344993016,-0.09207523897625655,50.0,0.050928658335444056,0.04957865833544406,-0.014772677704804726,0.44999999999999996,-0.17853839037927846,40.0,0.02971889522813227,0.028818895228132267,-0.04041795100751388,0.3,-0.16176379895158804,40.0,0.030606227168731893,0.029856227168731892,-0.05164017774410197,0.25,-0.16805427073697193,40.0,0.03639295216901905,0.03519295216901905,-0.03866359239360767,0.4
30,2018-08,46,-0.10197246995370846,-0.4003083564600678,0.0,-0.1491822718324169,-0.1514322718324169,-0.10439153855048153,0.75,-0.44483502929386365,0.0,-0.12525447347578197,-0.12735447347578197,-0.07374879424565042,0.7,-0.427813752698119,0.0,-0.12111463691038374,-0.12321463691038374,-0.07909630959480031,0.7,-0.44323157570151095,0.0,-0.14280954041778388,-0.14505954041778388,-0.09857685223630801,0.75
31,2018-09,46,-0.02434058374820182,0.35220474868948504,40.0,-0.0040999810603692625,-0.006349981060369263,0.059933787089393016,0.75,0.25624421831637373,40.0,-0.0237186334595599,-0.0258186334595599,0.0788973656852298,0.7,0.3240826395312982,60.0,0.0011553901902453395,-0.0009446098097546604,0.09400820954707602,0.7,0.34209065679925993,60.0,0.0011668428677239565,-0.0009331571322760434,0.06550061101748623,0.7
32,2018-10,46,0.04470207677727112,0.17039777983348753,80.0,0.06058298051724696,0.057732980517246964,0.046072514642719116,0.95,0.2331791551032994,70.0,0.03745603067919348,0.03520603067919348,0.04894151891051202,0.75,0.33246993524514334,80.0,0.07872087777995788,0.07617087777995789,0.11664858018788403,0.8500000000000001,0.258341042244835,80.0,0.06033530822227397,0.05778530822227397,0.09116267811346178,0.8500000000000001
33,2018-11,46,-0.01676187361277861,-0.042491520197348136,40.0,-0.02479363498065718,-0.02689363498065718,-0.003534806476420689,0.7,0.06938020351526364,60.0,-0.01672253588015652,-0.01867253588015652,-0.0035551176037345034,0.6499999999999999,0.0713536848596978,50.0,-0.029165942337083816,-0.031115942337083816,-0.007267629617375062,0.6499999999999999,0.08023435090965156,60.0,-0.010479142352019927,-0.012429142352019928,0.020617395492853952,0.6499999999999999
