fold,test_month,n_stocks,nifty_return,LightGBM_rank_ic,LightGBM_hit_rate_pct,LightGBM_top10_gross,LightGBM_top10_net,LightGBM_ls_spread_net,LightGBM_turnover,XGBoost_rank_ic,XGBoost_hit_rate_pct,XGBoost_top10_gross,XGBoost_top10_net,XGBoost_ls_spread_net,XGBoost_turnover,RandomForest_rank_ic,RandomForest_hit_rate_pct,RandomForest_top10_gross,RandomForest_top10_net,RandomForest_ls_spread_net,RandomForest_turnover,Ensemble_rank_ic,Ensemble_hit_rate_pct,Ensemble_top10_gross,Ensemble_top10_net,Ensemble_ls_spread_net,Ensemble_turnover
21,2016-11,46,0.011307394585830128,0.09947579401788467,40.0,0.00309536598821212,0.00024536598821211977,0.015133943315502048,0.95,-0.05803268578476719,50.0,0.01795042296063155,0.01525042296063155,-0.005446075383806991,0.9,0.18199198273203823,60.0,0.02602880450542479,0.02332880450542479,0.0310902947006102,0.9,0.052975639839654635,40.0,0.0030953659882121203,0.00039536598821212016,-0.006638814236559151,0.9
22,2016-12,46,0.09639725514595693,0.37897008942337346,90.0,0.15145686540952627,0.14905686540952626,0.07581175226819155,0.8,0.4101757631822387,90.0,0.15361278713237,0.15151278713237,0.09115605522547635,0.7,0.4803576934936787,90.0,0.16561128550900545,0.16381128550900545,0.09359624614511909,0.6,0.39821153253160657,90.0,0.15361278713237003,0.15151278713237004,0.08496890101329131,0.7
23,2017-01,46,0.07058185897362441,0.09096515572001233,80.0,0.08018917733494764,0.07763917733494764,0.00835496327752877,0.8500000000000001,0.258341042244835,70.0,0.08222822641988138,0.08012822641988138,0.029398948286379616,0.7,0.08788159111933394,70.0,0.07840163951735005,0.07615163951735004,0.02796429244790747,0.75,0.13499845821769965,70.0,0.074794960380304,0.072394960380304,0.005022334546180521,0.8
24,2017-02,46,0.026559231565686233,-0.15362318840579708,70.0,0.016478414446302946,0.013928414446302946,-0.047354508056727966,0.8500000000000001,0.07961763798951586,70.0,0.03855195322660489,0.036301953226604886,-0.001760358977942529,0.75,0.15584335491828555,70.0,0.041350041097690526,0.039100041097690524,0.01277193540093205,0.75,0.02880049337033611,70.0,0.025445466950458472,0.023195466950458474,-0.014866845254088955,0.75
25,2017-03,46,0.04991115938728706,0.41153253160653713,100.0,0.08817052491016782,0.08562052491016782,0.07969674426203417,0.8500000000000001,0.44162812210915814,100.0,0.08688352989335282,0.08448352989335282,0.0884966876163673,0.8,0.5565834104224484,100.0,0.09947959869726561,0.09692959869726561,0.09458423005650715,0.8500000000000001,0.4968855997533148,100.0,0.09769400062211339,0.09529400062211339,0.09930715834512786,0.8
26,2017-04,46,0.026908187392228798,0.17915510329941411,70.0,0.04099329072117873,0.03934329072117873,0.030811975361826453,0.55,0.1706444650015418,70.0,0.027200002245642108,0.025700002245642107,0.009326550854673078,0.5,0.057169287696577246,60.0,0.02108143846561392,0.01988143846561392,-0.008144233568519389,0.4,0.16509404872032069,70.0,0.03753011324594133,0.03588011324594133,0.023865894565839187,0.55
27,2017-05,46,0.043131907757117775,0.27104532839962997,90.0,0.050166675660209346,0.04806667566020935,0.04057892035168757,0.7,0.267468393462843,80.0,0.05239988373869995,0.04999988373869995,0.02847361893616107,0.8,0.2726487819919827,90.0,0.06248690820690186,0.06038690820690186,0.04160951371098147,0.7,0.2764724020968239,80.0,0.04981828393681567,0.04756828393681567,0.030778525628183437,0.75
28,2017-06,46,0.04319178266430648,0.3160653715695344,100.0,0.12707698226304245,0.12512698226304245,0.1116846749195781,0.6499999999999999,0.27499229108849826,90.0,0.10228223218305355,0.10033223218305355,0.07384705280914228,0.6499999999999999,0.42053654024051795,90.0,0.10558619182239808,0.10363619182239808,0.10382522451946202,0.6499999999999999,0.32617946345975946,90.0,0.1065619863793698,0.1046119863793698,0.08249768895938908,0.6499999999999999
29,2017-07,46,0.03760352896014248,0.45112550107924765,80.0,0.09971640875093822,0.09761640875093822,0.11106147571579658,0.7,0.43940795559666973,80.0,0.08237267156461121,0.08042267156461122,0.09695707842804518,0.6499999999999999,0.4822078322540857,100.0,0.1284541039648049,0.12680410396480488,0.12997079915726897,0.55,0.48331791551032993,100.0,0.13017101652827534,0.12852101652827533,0.15168369255453196,0.55
30,2017-08,46,0.03890919417358605,0.14165895775516496,70.0,0.050690636621374886,0.047990636621374885,0.018967714362232047,0.9,0.12130743139068764,70.0,0.0376019094607474,0.0356519094607474,0.01514828875031506,0.6499999999999999,-0.1253777366635831,60.0,0.01837869913934419,0.01582869913934419,-0.020853165725008935,0.8500000000000001,0.051618871415356156,60.0,0.026390116128428683,0.023990116128428683,-0.0038251573017961116,0.8
31,2017-09,46,0.06272486628166032,-0.3131051495528831,60.0,0.037635376585414604,0.0365853765854146,-0.08916999651742075,0.35,-0.13647856922602528,70.0,0.07315497845994287,0.07180497845994287,-0.041523247270668945,0.45,-0.1417823003391921,70.0,0.07240515608861256,0.07120515608861255,-0.04197306964199923,0.4,-0.21147086031452358,60.0,0.04936952559931836,0.048169525599318364,-0.06829159900156113,0.4
