month,long_portfolio,short_portfolio,long_return_gross,long_return_net,ls_spread_net,turnover,nifty_return
2016-07,"BAJFINANCE.NS, BAJAJFINSV.NS, DIVISLAB.NS, SHREECEM.NS, HINDALCO.NS, INDUSINDBK.NS, BAJAJ-AUTO.NS, HINDUNILVR.NS, JSWSTEEL.NS, APOLLOHOSP.NS","ITC.NS, UPL.NS, HCLTECH.NS, INFY.NS, MARUTI.NS, SBIN.NS, ONGC.NS, ASIANPAINT.NS, COALINDIA.NS, TECHM.NS",0.044028712366187536,0.04237871236618754,-0.010781962282034652,0.55,0.027829868968168636
2016-08,"BAJFINANCE.NS, HINDALCO.NS, BAJAJFINSV.NS, HINDUNILVR.NS, INFY.NS, APOLLOHOSP.NS, MARUTI.NS, JSWSTEEL.NS, BHARTIARTL.NS, ADANIPORTS.NS","TITAN.NS, HDFCBANK.NS, HEROMOTOCO.NS, M&M.NS, RELIANCE.NS, WIPRO.NS, ONGC.NS, ITC.NS, CIPLA.NS, TECHM.NS",0.01256407755633147,0.01091407755633147,0.022416537290258998,0.55,0.0048497252552174444
2016-09,"BAJFINANCE.NS, BAJAJFINSV.NS, ADANIPORTS.NS, JSWSTEEL.NS, UPL.NS, SHREECEM.NS, HINDALCO.NS, NESTLEIND.NS, HINDUNILVR.NS, ULTRACEMCO.NS","COALINDIA.NS, ASIANPAINT.NS, BHARTIARTL.NS, INFY.NS, NTPC.NS, TCS.NS, EICHERMOT.NS, WIPRO.NS, HCLTECH.NS, ONGC.NS",-0.06913842864183792,-0.07108842864183791,-0.003879124590432409,0.65,-0.06212920469914317
2016-10,"HINDALCO.NS, BAJAJFINSV.NS, BAJFINANCE.NS, JSWSTEEL.NS, UPL.NS, TATASTEEL.NS, TATACONSUM.NS, BPCL.NS, APOLLOHOSP.NS, GRASIM.NS","HEROMOTOCO.NS, HDFCBANK.NS, HCLTECH.NS, POWERGRID.NS, SBIN.NS, AXISBANK.NS, BAJAJ-AUTO.NS, SUNPHARMA.NS, NTPC.NS, M&M.NS",-0.054959781805870724,-0.056909781805870724,-0.0379792226838839,0.65,-0.04738134087789096
2016-11,"BAJAJFINSV.NS, HINDALCO.NS, TATASTEEL.NS, APOLLOHOSP.NS, BAJFINANCE.NS, ADANIPORTS.NS, BRITANNIA.NS, AXISBANK.NS, KOTAKBANK.NS, SBIN.NS","ULTRACEMCO.NS, GRASIM.NS, ICICIBANK.NS, HCLTECH.NS, TCS.NS, POWERGRID.NS, EICHERMOT.NS, TATACONSUM.NS, TECHM.NS, NTPC.NS",0.0030953659882121203,0.00039536598821212016,-0.006638814236559151,0.9,0.011307394585830128
2016-12,"HINDALCO.NS, TATASTEEL.NS, UPL.NS, BAJAJFINSV.NS, TITAN.NS, DIVISLAB.NS, BAJFINANCE.NS, JSWSTEEL.NS, WIPRO.NS, LT.NS","HDFCBANK.NS, SUNPHARMA.NS, COALINDIA.NS, TCS.NS, TECHM.NS, HCLTECH.NS, NESTLEIND.NS, ULTRACEMCO.NS, AXISBANK.NS, ITC.NS",0.15361278713237003,0.15151278713237004,0.08496890101329131,0.7,0.09639725514595693
2017-01,"UPL.NS, HINDALCO.NS, BAJAJFINSV.NS, DIVISLAB.NS, BAJFINANCE.NS, GRASIM.NS, JSWSTEEL.NS, TATASTEEL.NS, BPCL.NS, SHREECEM.NS","INFY.NS, WIPRO.NS, KOTAKBANK.NS, BAJAJ-AUTO.NS, AXISBANK.NS, HCLTECH.NS, DRREDDY.NS, RELIANCE.NS, ITC.NS, NTPC.NS",0.074794960380304,0.072394960380304,0.005022334546180521,0.8,0.07058185897362441
2017-02,"HINDALCO.NS, DIVISLAB.NS, BPCL.NS, TATASTEEL.NS, JSWSTEEL.NS, BAJAJ-AUTO.NS, SHREECEM.NS, LT.NS, MARUTI.NS, UPL.NS","TATACONSUM.NS, INDUSINDBK.NS, AXISBANK.NS, WIPRO.NS, COALINDIA.NS, KOTAKBANK.NS, SBIN.NS, CIPLA.NS, ITC.NS, HCLTECH.NS",0.025445466950458472,0.023195466950458474,-0.014866845254088955,0.75,0.026559231565686233
2017-03,"HINDALCO.NS, BAJAJFINSV.NS, JSWSTEEL.NS, BAJFINANCE.NS, GRASIM.NS, ULTRACEMCO.NS, BAJAJ-AUTO.NS, HEROMOTOCO.NS, TATASTEEL.NS, MARUTI.NS","DRREDDY.NS, WIPRO.NS, ONGC.NS, COALINDIA.NS, TCS.NS, DIVISLAB.NS, APOLLOHOSP.NS, CIPLA.NS, TECHM.NS, HCLTECH.NS",0.09769400062211339,0.09529400062211339,0.09930715834512786,0.8,0.04991115938728706
2017-04,"HINDALCO.NS, BAJFINANCE.NS, JSWSTEEL.NS, TITAN.NS, BAJAJFINSV.NS, HEROMOTOCO.NS, BPCL.NS, UPL.NS, ICICIBANK.NS, SBIN.NS","HDFCBANK.NS, SHREECEM.NS, ULTRACEMCO.NS, BHARTIARTL.NS, NESTLEIND.NS, HCLTECH.NS, TCS.NS, BRITANNIA.NS, CIPLA.NS, COALINDIA.NS",0.03753011324594133,0.03588011324594133,0.023865894565839187,0.55,0.026908187392228798
