fold,test_month,n_stocks,nifty_return,regime,avg_corr,nifty_vol,position_scale,LightGBM_rank_ic,LightGBM_hit_rate_pct,LightGBM_top10_gross,LightGBM_top10_net,LightGBM_bot10_gross,LightGBM_ls_spread_net,LightGBM_turnover,LightGBM_position_scale,LightGBM_n_long,LightGBM_n_short,XGBoost_rank_ic,XGBoost_hit_rate_pct,XGBoost_top10_gross,XGBoost_top10_net,XGBoost_bot10_gross,XGBoost_ls_spread_net,XGBoost_turnover,XGBoost_position_scale,XGBoost_n_long,XGBoost_n_short,RandomForest_rank_ic,RandomForest_hit_rate_pct,RandomForest_top10_gross,RandomForest_top10_net,RandomForest_bot10_gross,RandomForest_ls_spread_net,RandomForest_turnover,RandomForest_position_scale,RandomForest_n_long,RandomForest_n_short,Ensemble_rank_ic,Ensemble_hit_rate_pct,Ensemble_top10_gross,Ensemble_top10_net,Ensemble_bot10_gross,Ensemble_ls_spread_net,Ensemble_turnover,Ensemble_position_scale,Ensemble_n_long,Ensemble_n_short
22,2016-12,46,0.09639725514595693,normal,0.3211,0.1891,0.88,0.37897008942337346,100.0,0.18223199952015448,0.15838415957773594,0.08409598868259499,0.08239968953705235,0.75,0.88,8,8,0.4101757631822387,87.5,0.14585035867857218,0.1263683156371435,0.06498283819220024,0.0672034180280073,0.75,0.88,8,8,0.4803576934936787,87.5,0.17746988534103186,0.15452349910010804,0.06915769731452914,0.0920147254633224,0.625,0.88,8,8,0.39821153253160657,87.5,0.17746988534103186,0.15452349910010804,0.06487644835673512,0.09578222454618114,0.625,0.88,8,8
23,2017-01,46,0.07058185897362441,normal,0.3607,0.1274,1.0,0.09096515572001233,80.0,0.08018917733494764,0.07763917733494764,0.06673421405741888,0.00835496327752877,0.8500000000000001,1.0,10,10,0.258341042244835,70.0,0.08222822641988138,0.08012822641988138,0.04862927813350176,0.029398948286379616,0.7,1.0,10,10,0.08788159111933394,70.0,0.07840163951735005,0.07615163951735004,0.04593734706944257,0.02796429244790747,0.75,1.0,10,10,0.13499845821769965,70.0,0.074794960380304,0.072394960380304,0.06497262583412348,0.005022334546180521,0.8,1.0,10,10
24,2017-02,46,0.026559231565686233,normal,0.1854,0.0996,1.0,-0.15362318840579708,70.0,0.016478414446302946,0.013928414446302946,0.058732922503030915,-0.047354508056727966,0.8500000000000001,1.0,10,10,0.07961763798951586,70.0,0.03855195322660489,0.036301953226604886,0.03581231220454741,-0.001760358977942529,0.75,1.0,10,10,0.15584335491828555,70.0,0.041350041097690526,0.039100041097690524,0.024078105696758473,0.01277193540093205,0.75,1.0,10,10,0.02880049337033611,70.0,0.025445466950458472,0.023195466950458474,0.03581231220454743,-0.014866845254088955,0.75,1.0,10,10
25,2017-03,46,0.04991115938728706,normal,0.1528,0.0919,1.0,0.41153253160653713,100.0,0.08817052491016782,0.08562052491016782,0.0033737806481336508,0.07969674426203417,0.8500000000000001,1.0,10,10,0.44162812210915814,100.0,0.08688352989335282,0.08448352989335282,-0.006413157723014469,0.0884966876163673,0.8,1.0,10,10,0.5565834104224484,100.0,0.09947959869726561,0.09692959869726561,-0.00020463135924153955,0.09458423005650715,0.8500000000000001,1.0,10,10,0.4968855997533148,100.0,0.09769400062211339,0.09529400062211339,-0.00641315772301447,0.09930715834512786,0.8,1.0,10,10
26,2017-04,46,0.026908187392228798,normal,0.1979,0.0924,1.0,0.17915510329941411,70.0,0.04099329072117873,0.03934329072117873,0.006881315359352278,0.030811975361826453,0.55,1.0,10,10,0.1706444650015418,70.0,0.027200002245642108,0.025700002245642107,0.014873451390969027,0.009326550854673078,0.5,1.0,10,10,0.057169287696577246,60.0,0.02108143846561392,0.01988143846561392,0.02682567203413331,-0.008144233568519389,0.4,1.0,10,10,0.16509404872032069,70.0,0.03753011324594133,0.03588011324594133,0.010364218680102141,0.023865894565839187,0.55,1.0,10,10
27,2017-05,46,0.043131907757117775,normal,0.109,0.0788,1.0,0.27104532839962997,90.0,0.050166675660209346,0.04806667566020935,0.005387755308521779,0.04057892035168757,0.7,1.0,10,10,0.267468393462843,80.0,0.05239988373869995,0.04999988373869995,0.01912626480253888,0.02847361893616107,0.8,1.0,10,10,0.2726487819919827,90.0,0.06248690820690186,0.06038690820690186,0.016677394495920393,0.04160951371098147,0.7,1.0,10,10,0.2764724020968239,80.0,0.04981828393681567,0.04756828393681567,0.01453975830863223,0.030778525628183437,0.75,1.0,10,10
28,2017-06,46,0.04319178266430648,normal,0.1619,0.0966,1.0,0.3160653715695344,100.0,0.12707698226304245,0.12512698226304245,0.011492307343464335,0.1116846749195781,0.6499999999999999,1.0,10,10,0.27499229108849826,90.0,0.10228223218305355,0.10033223218305355,0.02453517937391128,0.07384705280914228,0.6499999999999999,1.0,10,10,0.42053654024051795,90.0,0.10558619182239808,0.10363619182239808,-0.0021390326970639377,0.10382522451946202,0.6499999999999999,1.0,10,10,0.32617946345975946,90.0,0.1065619863793698,0.1046119863793698,0.02016429741998072,0.08249768895938908,0.6499999999999999,1.0,10,10
29,2017-07,46,0.03760352896014248,normal,0.0942,0.0563,1.0,0.45112550107924765,80.0,0.09971640875093822,0.09761640875093822,-0.01554506696485837,0.11106147571579658,0.7,1.0,10,10,0.43940795559666973,80.0,0.08237267156461121,0.08042267156461122,-0.01848440686343397,0.09695707842804518,0.6499999999999999,1.0,10,10,0.4822078322540857,100.0,0.1284541039648049,0.12680410396480488,-0.004816695192464089,0.12997079915726897,0.55,1.0,10,10,0.48331791551032993,100.0,0.13017101652827534,0.12852101652827533,-0.024812676026256635,0.15168369255453196,0.55,1.0,10,10
30,2017-08,46,0.03890919417358605,normal,0.0982,0.0759,1.0,0.14165895775516496,70.0,0.050690636621374886,0.047990636621374885,0.026322922259142838,0.018967714362232047,0.9,1.0,10,10,0.12130743139068764,70.0,0.0376019094607474,0.0356519094607474,0.01855362071043234,0.01514828875031506,0.6499999999999999,1.0,10,10,-0.1253777366635831,60.0,0.01837869913934419,0.01582869913934419,0.03413186486435312,-0.020853165725008935,0.8500000000000001,1.0,10,10,0.051618871415356156,60.0,0.026390116128428683,0.023990116128428683,0.025415273430224795,-0.0038251573017961116,0.8,1.0,10,10
31,2017-09,46,0.06272486628166032,normal,0.2298,0.1167,1.0,-0.3131051495528831,60.0,0.037635376585414604,0.0365853765854146,0.12470537310283536,-0.08916999651742075,0.35,1.0,10,10,-0.13647856922602528,70.0,0.07315497845994287,0.07180497845994287,0.11197822573061181,-0.041523247270668945,0.45,1.0,10,10,-0.1417823003391921,70.0,0.07240515608861256,0.07120515608861255,0.11197822573061178,-0.04197306964199923,0.4,1.0,10,10,-0.21147086031452358,60.0,0.04936952559931836,0.048169525599318364,0.11526112460087949,-0.06829159900156113,0.4,1.0,10,10
32,2017-10,46,0.004518534577474025,normal,0.2358,0.1006,1.0,-0.09602220166512487,40.0,0.013323000256569342,0.011073000256569342,0.012876678846968628,-0.0040536785903992865,0.75,1.0,10,10,0.09602220166512487,50.0,0.02725838920670251,0.02515838920670251,-0.00791190695221794,0.030970296158920448,0.7,1.0,10,10,0.016096207215541166,50.0,0.039534513291387664,0.03743451329138767,-0.004934836610975672,0.04026934990236334,0.7,1.0,10,10,0.040764724020968236,50.0,0.051411403389919896,0.0493114033899199,-0.0033627614039264406,0.05057416479384634,0.7,1.0,10,10
33,2017-11,46,0.049190279067096464,normal,0.0833,0.0769,1.0,0.02522355843354918,80.0,0.04151418761779389,0.03971418761779389,0.05430086414644257,-0.016386676528648683,0.6,1.0,10,10,0.1742213999383287,90.0,0.06462891960690358,0.06267891960690358,0.04785207232471084,0.012876847282192745,0.6499999999999999,1.0,10,10,0.12587110699969162,80.0,0.05701953650360233,0.05566953650360233,0.04212651528482184,0.012193021218780492,0.45,1.0,10,10,0.11834720937403638,80.0,0.0512969339420359,0.0496469339420359,0.04291959697078437,0.005077336971251532,0.55,1.0,10,10
34,2017-12,46,-0.013171674882177133,normal,0.1052,0.0821,1.0,-0.04705519580635214,30.0,-0.03395954428050805,-0.03590954428050805,-0.002215640044987683,-0.035643904235520364,0.6499999999999999,1.0,10,10,-0.12624113475177304,40.0,-0.030682688750312086,-0.03278268875031209,0.001501236846922696,-0.03638392559723479,0.7,1.0,10,10,-0.3017576318223867,20.0,-0.051354370880171626,-0.052704370880171623,0.020997221673557647,-0.07505159255372927,0.44999999999999996,1.0,10,10,-0.2050570459451125,20.0,-0.05677993483406842,-0.05842993483406842,0.01237578980560422,-0.07245572463967265,0.55,1.0,10,10
35,2018-01,46,-0.049574301770367785,normal,0.2298,0.0987,1.0,-0.10835646006783842,20.0,-0.0672757490300602,-0.0693757490300602,-0.06466226070180081,-0.006813488328259398,0.7,1.0,10,10,0.026703669441874803,30.0,-0.04257828711520363,-0.04422828711520363,-0.035320754233362874,-0.010557532881840755,0.55,1.0,10,10,-0.11131668208448967,30.0,-0.0540467096086096,-0.0556967096086096,-0.03306872574002161,-0.02427798386858799,0.55,1.0,10,10,-0.08048103607770582,30.0,-0.04257828711520363,-0.044378287115203634,-0.04552268339571393,-0.0006556037194897085,0.6,1.0,10,10
36,2018-02,46,0.01970048087999154,normal,0.1065,0.0711,1.0,-0.00018501387604070305,50.0,0.01940934656345151,0.017909346563451507,0.0433711163822667,-0.026961769818815193,0.5,1.0,10,10,0.15806352143077398,60.0,0.02389389443102846,0.02224389443102846,0.008868092013748758,0.0117258024172797,0.55,1.0,10,10,0.05642923219241443,50.0,0.023611789645214327,0.022411789645214328,0.01227586019878496,0.008935929446429368,0.4,1.0,10,10,0.08751156336725255,50.0,0.013249973875256,0.011749973875256,0.035849408735345596,-0.025599434860089598,0.5,1.0,10,10
37,2018-03,46,0.05595792635071558,normal,0.276,0.1382,1.0,-0.11785383903792784,80.0,0.04392877995470603,0.04167877995470603,0.044751253750964046,-0.005322473796258019,0.75,1.0,10,10,0.024360160345359236,80.0,0.046422382743554313,0.044322382743554316,0.03431337897904772,0.007909003764506595,0.7,1.0,10,10,-0.04705519580635214,80.0,0.042535781638967395,0.04028578163896739,0.04630639067519469,-0.008270609036227297,0.75,1.0,10,10,-0.04335491828553808,80.0,0.043075334559946984,0.04097533455994699,0.03431337897904772,0.004561955580899266,0.7,1.0,10,10
38,2018-04,46,0.001660216552271592,normal,0.2867,0.1402,1.0,0.09330866481652789,50.0,0.017220696320069038,0.014820696320069039,-0.01357304559266756,0.0259937419127366,0.8,1.0,10,10,0.22503854455750846,60.0,0.029414856189614296,0.027314856189614295,-0.03230651108691997,0.05752136727653426,0.7,1.0,10,10,0.14030218933086647,70.0,0.031318471748575084,0.029068471748575082,-0.012211967440638379,0.039030439189213464,0.75,1.0,10,10,0.18199198273203823,50.0,0.01722069632006904,0.014970696320069041,-0.02107174571075377,0.03379244203082281,0.75,1.0,10,10
39,2018-05,46,0.015806357251170338,normal,0.1602,0.089,1.0,-0.08011100832562441,50.0,0.036013208383316196,0.033763208383316194,0.05492009786995809,-0.0234068894866419,0.75,1.0,10,10,-0.19679309281529445,40.0,0.013794178471497432,0.011694178471497433,0.07431804769482274,-0.0647238692233253,0.7,1.0,10,10,-0.15386987357385137,40.0,0.01690795542832684,0.014807955428326842,0.040241069788168125,-0.02753311435984128,0.7,1.0,10,10,-0.13105149552883133,40.0,0.016907955428326838,0.014807955428326839,0.07431804769482274,-0.06161009226649591,0.7,1.0,10,10
40,2018-06,46,0.05144235066671429,normal,0.1564,0.1061,1.0,-0.10527289546716004,80.0,0.04173720414385373,0.03963720414385373,0.05662183002080705,-0.019084625876953316,0.7,1.0,10,10,-0.022756706753006475,80.0,0.04234196300518199,0.03979196300518199,0.0442715447913563,-0.007029581786174313,0.8500000000000001,1.0,10,10,0.04693185322232501,70.0,0.04447604397797157,0.042376043977971574,0.03206271348921571,0.008213330488755867,0.7,1.0,10,10,-0.04520505704594511,80.0,0.0373289087965874,0.0350789087965874,0.0506882357310142,-0.0178593269344268,0.75,1.0,10,10
