month,regime,position_scale,avg_corr,nifty_vol,n_long,n_short,long_portfolio,short_portfolio,long_return_gross,long_return_net,ls_spread_net,turnover,nifty_return
2019-04,normal,1.0,0.1705,0.1015,10,10,"TITAN.NS, BAJAJFINSV.NS, SUNPHARMA.NS, EICHERMOT.NS, TATACONSUM.NS, BAJFINANCE.NS, INFY.NS, BHARTIARTL.NS, NESTLEIND.NS, KOTAKBANK.NS","TCS.NS, LT.NS, SHREECEM.NS, ULTRACEMCO.NS, HEROMOTOCO.NS, JSWSTEEL.NS, ONGC.NS, APOLLOHOSP.NS, GRASIM.NS, CIPLA.NS",0.07238277313342763,0.07043277313342763,0.04172680961031219,0.6499999999999999,0.017745677792411162
2019-05,normal,1.0,0.1418,0.1142,10,10,"TITAN.NS, BAJAJFINSV.NS, SUNPHARMA.NS, TATACONSUM.NS, HCLTECH.NS, WIPRO.NS, KOTAKBANK.NS, BAJFINANCE.NS, MARUTI.NS, NESTLEIND.NS","BHARTIARTL.NS, POWERGRID.NS, ITC.NS, SHREECEM.NS, COALINDIA.NS, SBIN.NS, INDUSINDBK.NS, M&M.NS, APOLLOHOSP.NS, LT.NS",-0.039288199072672475,-0.040788199072672476,-0.034547471456797416,0.5,-0.027603759912222477
2019-06,normal,0.867,0.298,0.1933,8,8,"NESTLEIND.NS, ADANIPORTS.NS, TITAN.NS, APOLLOHOSP.NS, KOTAKBANK.NS, TATACONSUM.NS, DRREDDY.NS, BAJAJFINSV.NS","HEROMOTOCO.NS, SBIN.NS, TATASTEEL.NS, BPCL.NS, MARUTI.NS, POWERGRID.NS, HINDALCO.NS, M&M.NS",-0.04184913797197973,-0.03839651512170642,0.05156857977480186,0.8125,-0.06157960713687418
2019-07,normal,1.0,0.2552,0.1188,10,10,"TATACONSUM.NS, BRITANNIA.NS, TECHM.NS, RELIANCE.NS, NESTLEIND.NS, BAJFINANCE.NS, BAJAJFINSV.NS, ADANIPORTS.NS, DIVISLAB.NS, EICHERMOT.NS","HCLTECH.NS, DRREDDY.NS, ICICIBANK.NS, BHARTIARTL.NS, HINDALCO.NS, SHREECEM.NS, WIPRO.NS, SUNPHARMA.NS, UPL.NS, BPCL.NS",0.031027073262569434,0.028327073262569433,0.029546293399747153,0.9,-0.011131901841812243
2019-08,normal,1.0,0.2567,0.1173,10,10,"TITAN.NS, AXISBANK.NS, BAJFINANCE.NS, NESTLEIND.NS, KOTAKBANK.NS, ICICIBANK.NS, BAJAJFINSV.NS, RELIANCE.NS, COALINDIA.NS, CIPLA.NS","BHARTIARTL.NS, NTPC.NS, BPCL.NS, SUNPHARMA.NS, HINDALCO.NS, APOLLOHOSP.NS, UPL.NS, JSWSTEEL.NS, MARUTI.NS, INDUSINDBK.NS",0.10924045766433446,0.10714045766433446,0.06372937519231925,0.7,0.06469276928177602
2019-09,normal,0.941,0.2596,0.1692,9,9,"COALINDIA.NS, INFY.NS, TCS.NS, WIPRO.NS, TITAN.NS, CIPLA.NS, SBILIFE.NS, TECHM.NS, SBIN.NS","TATASTEEL.NS, BPCL.NS, EICHERMOT.NS, INDUSINDBK.NS, ULTRACEMCO.NS, HDFCLIFE.NS, GRASIM.NS, LT.NS, MARUTI.NS",0.047568720707086745,0.04272333285203529,0.01064188482817608,0.7222222222222222,0.03158661489390182
2019-10,elevated,0.664,0.3119,0.2591,6,6,"JSWSTEEL.NS, INFY.NS, BAJFINANCE.NS, BAJAJFINSV.NS, ICICIBANK.NS, TECHM.NS","ASIANPAINT.NS, ONGC.NS, SUNPHARMA.NS, SHREECEM.NS, UPL.NS, GRASIM.NS",0.08355607716538138,0.053821235237813236,0.06776438579966451,0.8333333333333333,-0.003131533924763128
2019-11,normal,1.0,0.1981,0.1268,10,10,"BAJAJFINSV.NS, WIPRO.NS, INFY.NS, TITAN.NS, KOTAKBANK.NS, TCS.NS, BAJFINANCE.NS, POWERGRID.NS, NTPC.NS, AXISBANK.NS","SBIN.NS, UPL.NS, LT.NS, JSWSTEEL.NS, HINDALCO.NS, SHREECEM.NS, MARUTI.NS, BPCL.NS, SBILIFE.NS, INDUSINDBK.NS",0.0407892308070424,0.0380892308070424,0.0148055672097561,0.9,0.024467716648444094
2019-12,normal,1.0,0.1425,0.0842,10,10,"ADANIPORTS.NS, POWERGRID.NS, KOTAKBANK.NS, TITAN.NS, HINDUNILVR.NS, ITC.NS, DIVISLAB.NS, INFY.NS, WIPRO.NS, HDFCBANK.NS","BAJAJ-AUTO.NS, INDUSINDBK.NS, MARUTI.NS, GRASIM.NS, RELIANCE.NS, SBILIFE.NS, UPL.NS, EICHERMOT.NS, CIPLA.NS, BPCL.NS",0.027965737160417427,0.026465737160417425,0.07419491333508332,0.5,0.01365849363359084
2020-01,normal,1.0,0.1735,0.0913,10,10,"KOTAKBANK.NS, TITAN.NS, COALINDIA.NS, DIVISLAB.NS, BHARTIARTL.NS, ICICIBANK.NS, EICHERMOT.NS, POWERGRID.NS, TCS.NS, ADANIPORTS.NS","TATACONSUM.NS, HCLTECH.NS, BPCL.NS, HINDALCO.NS, HDFCLIFE.NS, JSWSTEEL.NS, LT.NS, M&M.NS, GRASIM.NS, HEROMOTOCO.NS",-0.1384124052650037,-0.14081240526500372,0.05254150876291122,0.8,-0.16252939863756308
