fold,test_month,n_stocks,nifty_return,LightGBM_rank_ic,LightGBM_hit_rate,LightGBM_top10_return,LightGBM_bot10_return,LightGBM_ls_spread,LightGBM_n_stocks,XGBoost_rank_ic,XGBoost_hit_rate,XGBoost_top10_return,XGBoost_bot10_return,XGBoost_ls_spread,XGBoost_n_stocks,RandomForest_rank_ic,RandomForest_hit_rate,RandomForest_top10_return,RandomForest_bot10_return,RandomForest_ls_spread,RandomForest_n_stocks,Ensemble_rank_ic,Ensemble_hit_rate,Ensemble_top10_return,Ensemble_bot10_return,Ensemble_ls_spread,Ensemble_n_stocks
51,2020-05,48,0.08868301809929331,0.2609639600521059,0.8,0.11071265150873104,0.03496749148538617,0.07574516002334486,48,0.21287451150673034,1.0,0.1170215409683402,0.057339098279441024,0.05968244268889918,48,0.32729049066435084,0.9,0.10569618119774078,0.04699374814153281,0.058702433056207974,48,0.27073382544507163,1.0,0.11945764414966538,0.03345103721750002,0.08600660693216536,48
52,2020-06,48,0.11312846695387242,0.06719496309161962,1.0,0.10267978280108607,0.07457134963909237,0.0281084331619937,48,-0.06404689535388623,0.8,0.09135152827721472,0.09220033254722967,-0.0008488042700149495,48,0.04982631350412505,0.8,0.07514040732077132,0.09243353596887942,-0.0172931286481081,48,0.03126356925749023,0.9,0.08687184646770044,0.07483407331759243,0.012037773150108011,48
53,2020-07,47,0.04208917643195067,0.08684088806660499,0.6,0.023775377489721836,0.024019149894004034,-0.00024377240428219774,47,0.14789546716003701,0.6,0.05493822457164423,0.024268398112924854,0.03066982645871938,47,0.028561517113783533,0.6,0.04320484763755672,0.05157469751729292,-0.0083698498797362,47,0.11470860314523591,0.6,0.03365623759430893,0.03255916674476638,0.001097070849542546,47
54,2020-08,48,0.021036632980354977,0.0486322188449848,0.3,-0.00866547116847632,-0.008386245834213763,-0.00027922533426255787,48,0.07837603126356926,0.5,-0.006006493063622421,-0.01971938653318256,0.013712893469560138,48,0.049609205384281374,0.3,-0.02043738479420467,-0.028274417184880118,0.007837032390675448,48,0.04646113764654798,0.4,0.0061145340086739604,-0.01971938653318256,0.02583392054185652,48
55,2020-09,48,0.09982544977810738,0.14893617021276598,0.9,0.13461950304862258,0.11298322188796248,0.021636281160660104,48,0.08619192357794181,0.9,0.11531552042342134,0.07310005283487672,0.04221546758854462,48,0.10453755970473297,0.8,0.11132961162739388,0.06997959489003616,0.04135001673735772,48,0.1165870603560573,0.9,0.11815582216512768,0.08991076043941529,0.028245061725712395,48
56,2020-10,48,0.16130628800776356,-0.215154146765089,1.0,0.18601579262018247,0.20036723913185944,-0.014351446511676968,48,-0.13482414242292662,1.0,0.15403705873148552,0.17119193613809153,-0.01715487740660601,48,-0.2915762049500651,0.9,0.135786235460978,0.22938486902245914,-0.09359863356148113,48,-0.25564481111593573,1.0,0.14623784054897476,0.1971260038219103,-0.05088816327293555,48
57,2020-11,48,0.13635345320109798,0.060356057316543636,1.0,0.14147058143726884,0.1331467609882952,0.008323820448973646,48,-0.12592270950933565,1.0,0.12185198706173095,0.14973122302537428,-0.027879235963643334,48,-0.13699522362136343,1.0,0.10636552842382936,0.14384593092359904,-0.03748040249976968,48,-0.04613547546678245,1.0,0.1292719102847974,0.13102084746276862,-0.001748937177971227,48
58,2020-12,48,0.08289934599043101,-0.13113330438558404,0.7,0.026842881623440958,0.07901627341629007,-0.05217339179284911,48,-0.08228397742075554,0.8,0.07902156911917144,0.07308793701277294,0.005933632106398495,48,0.08260963960052106,0.7,0.09428419675384393,0.08566554092407044,0.008618655829773489,48,-0.07881024750325662,0.7,0.053649304669561935,0.07618327460414583,-0.02253396993458389,48
59,2021-01,48,0.10588456513481188,-0.1900781589231437,1.0,0.11170312897130116,0.19067932699273665,-0.07897619802143549,48,-0.0877116804168476,1.0,0.13104647422530463,0.16238334487337597,-0.031336870648071335,48,-0.22166739036039948,0.6,0.07075699733971581,0.16488949586301724,-0.09413249852330142,48,-0.12700825010855404,1.0,0.12429697304350973,0.19717717024125186,-0.07288019719774214,48
60,2021-02,48,0.026544684760654552,0.1508901432913591,0.8,0.058029305388849664,0.01807990105388495,0.03994940433496472,48,0.10725141120277899,0.7,0.049527906737754486,0.017728923566595577,0.03179898317115891,48,0.15013026487190623,0.6,0.028248999825877325,0.0008279950558836999,0.027421004769993627,48,0.1403603994789405,0.8,0.05489868243090372,0.02835453408091443,0.02654414834998929,48
